"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","3. DRep registration","1","","9","0","","0"
"0","9. Outcomes","2","","24","0","","0"
"0","7. Proposal submission","4","","26","0","","0"
"4","6. Miscellaneous","5","","61","0","6A. Should be accessible from mobile","0"
"0","","0","","0","59","","0"
"0","4. Proposal visibility","1","","14","0","","0"
"0","Setup","1","","3","0","Cleanup","0"
"0","12. Proposal Budget Submission","0","","28","0","","0"
"0","11. Proposal Budget","0","","13","0","","0"
"0","Setup","0","","18","0","Authentication","0"
"0","2. Delegation","0","","18","0","","0"
"0","6. Miscellaneous","0","","10","0","","0"
"4","10. User Snap","1","","0","0","","0"
"1","8. Proposal Discussion Forum","0","","16","0","","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","Setup","1","","0","0","Wallet bootstrap","0"
"0","5. Proposal functionality","0","","3","0","","0"
"0","Setup","1","","0","0","Proposal","0"
"0","Setup","1","","0","0","Register DRep","0"
