"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","11. Proposal Budget","0","","16","0","","0"
"4","6. Miscellaneous","5","","61","0","6A. Should be accessible from mobile","0"
"0","1. Wallet connect","0","","5","0","","0"
"0","7. Proposal submission","2","","43","0","","0"
"0","Setup","0","","26","0","Authentication","0"
"0","9. Outcomes","2","","24","0","","0"
"4","10. User Snap","1","","0","0","","0"
"0","4. Proposal visibility","2","","19","0","","0"
"0","8. Proposal Discussion Forum","0","","17","0","","0"
"0","2. Delegation","1","","28","0","","0"
"0","3. DRep registration","3","","20","0","","0"
"0","12. Proposal Budget Submission","0","","28","0","","0"
"0","5. Proposal functionality","2","","10","0","","0"
"0","Setup","0","","4","0","Cleanup","0"
"0","6. Miscellaneous","0","","10","0","","0"
"0","Setup","0","","1","0","Wallet bootstrap","0"
"0","Setup","0","","3","0","Register DRep","0"
"0","Setup","0","","1","0","Proposal","0"
