"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Apr 11 14:49:13 GMT 2024","Thu Apr 11 14:49:13 GMT 2024","0","logged in","miscellaneous/miscellaneous.loggedin.spec.ts","Logged in specs","","","6B. Provides error for invalid format @fast @smoke",""
"skipped","Thu Apr 11 14:49:13 GMT 2024","Thu Apr 11 14:49:13 GMT 2024","0","logged in","proposals/proposalVisibility.loggedin.spec.ts","Logged in specs","","","4C.1: Should filter Governance Action Type on governance actions page @slow @smoke",""
"skipped","Thu Apr 11 14:48:45 GMT 2024","Thu Apr 11 14:48:45 GMT 2024","1","bootstrap","wallet.bootstrap.ts","","","","Register stake of static wallet: addr_test1qqutux2gua6zd6k2n7t8hmx9g4d3r575p7cxhxwa82qh6hn4c7j7zys8yleyydk0kkvpasc0659zdp994j5xdgfr5ymqyne2p2",""
"broken","Thu Apr 11 14:48:27 GMT 2024","Thu Apr 11 14:48:57 GMT 2024","30064","independent","wallet-connect/walletConnect.spec.ts","","","","1A. Should connect wallet and choose stake-key to use @smoke @fast",""
"skipped","Thu Apr 11 14:49:13 GMT 2024","Thu Apr 11 14:49:13 GMT 2024","0","logged in","drep-registration/dRepRegistrationAccessibility.loggedin.spec.ts","Logged in specs","","","3B. Should access DRep registration page @fast @smoke",""
"broken","Thu Apr 11 14:48:15 GMT 2024","Thu Apr 11 14:48:46 GMT 2024","31022","setup","auth.setup.ts","","","","Create User 01 auth",""
"skipped","Thu Apr 11 14:49:13 GMT 2024","Thu Apr 11 14:49:13 GMT 2024","0","logged in","proposals/proposalVisibility.loggedin.spec.ts","Logged in specs","","","4B.1: Should restrict voting for users who are not registered as DReps (with wallet connected) @critical @flaky @fast",""
"skipped","Thu Apr 11 14:49:13 GMT 2024","Thu Apr 11 14:49:13 GMT 2024","0","logged in","proposals/proposalVisibility.loggedin.spec.ts","Logged in specs","","","4C.3: Should filter and sort Governance Action Type on governance actions page",""
"skipped","Thu Apr 11 14:48:45 GMT 2024","Thu Apr 11 14:48:45 GMT 2024","0","bootstrap","wallet.bootstrap.ts","","","","Fund static wallets",""
"skipped","Thu Apr 11 14:49:13 GMT 2024","Thu Apr 11 14:49:13 GMT 2024","0","logged in","drep-registration/dRepRegistrationAccessibility.loggedin.spec.ts","Logged in specs","","","3F. Should create proper DRep registration request, when registered with data @slow @regression",""
"skipped","Thu Apr 11 14:48:15 GMT 2024","Thu Apr 11 14:48:15 GMT 2024","224","bootstrap","wallet.bootstrap.ts","","","","Setup mock wallets",""
"skipped","Thu Apr 11 14:49:13 GMT 2024","Thu Apr 11 14:49:13 GMT 2024","0","logged in","delegation/delegationAccessibility.loggedin.spec.ts","Logged in specs","","","2D. Verify DRep Behavior in Connected State @smoke @fast",""
"skipped","Thu Apr 11 14:49:13 GMT 2024","Thu Apr 11 14:49:13 GMT 2024","0","logged in","drep-registration/dRepRegistrationAccessibility.loggedin.spec.ts","Logged in specs","","","3D.Verify DRep registration functionality with Wallet Connected State State @fast",""
"passed","Thu Apr 11 14:48:15 GMT 2024","Thu Apr 11 14:48:27 GMT 2024","12354","independent","delegation/delegationAccessibility.spec.ts","","","","2C. Verify DRep Behavior in Disconnected State",""
"failed","Thu Apr 11 14:48:43 GMT 2024","Thu Apr 11 14:49:13 GMT 2024","29863","cleanup adaHolder","adaholder.teardown.ts","","","","Abstain delegation",""
"skipped","Thu Apr 11 14:49:13 GMT 2024","Thu Apr 11 14:49:13 GMT 2024","2","logged in","delegation/delegationAccessibility.loggedin.spec.ts","Logged in specs","","","2I. Should check validity of DRep Id @slow @regression",""
"skipped","Thu Apr 11 14:49:13 GMT 2024","Thu Apr 11 14:49:13 GMT 2024","0","logged in","delegation/delegationAccessibility.loggedin.spec.ts","Logged in specs","","","2B. Should access delegation to dRep page @smoke @fast",""
"passed","Thu Apr 11 14:48:27 GMT 2024","Thu Apr 11 14:48:36 GMT 2024","8558","independent","proposals/proposalVisibility.spec.ts","","","","4B.2: Should restrict voting for users who are not registered as DReps (without wallet connected) @critical @flaky @fast",""
"passed","Thu Apr 11 14:48:36 GMT 2024","Thu Apr 11 14:48:42 GMT 2024","6617","independent","wallet-connect/walletConnect.spec.ts","","","","1D. Should check correct network (Testnet/Mainnet) on connection @smoke @fast",""
"skipped","Thu Apr 11 14:48:45 GMT 2024","Thu Apr 11 14:48:45 GMT 2024","0","bootstrap","wallet.bootstrap.ts","","","","Register stake of static wallet: addr_test1qrvnzuqxfkpw4ww752e3gx7gs5p7eq8f8jrfr7mtygl7xyy80stauk7e0pfxu2yrxsg5ltdx98mfn388nyu54fzu92ksmdwpzc",""
"skipped","Thu Apr 11 14:48:45 GMT 2024","Thu Apr 11 14:48:45 GMT 2024","1","bootstrap","wallet.bootstrap.ts","","","","Register stake of static wallet: addr_test1qp5nu3n0y5sny48qv87ujhu2turm7mhsmcz83tdl3x3nprmugeqjjej9u4tupfjzdc2q5zw5hfpr69v2hg02up4t57tstdrzh5",""
"skipped","Thu Apr 11 14:49:13 GMT 2024","Thu Apr 11 14:49:13 GMT 2024","0","logged in","proposals/proposalVisibility.loggedin.spec.ts","Logged in specs","","","4C.2: Should sort Governance Action Type on governance actions page",""
"passed","Thu Apr 11 14:48:15 GMT 2024","Thu Apr 11 14:48:27 GMT 2024","12056","independent","drep-registration/dRepRegistrationAccessibility.spec.ts","","","","3C. Should open wallet connection popup, when Register as DRep from wallet unconnected state @smoke @fast",""
"skipped","Thu Apr 11 14:49:13 GMT 2024","Thu Apr 11 14:49:13 GMT 2024","0","logged in","drep-registration/dRepRegistrationAccessibility.loggedin.spec.ts","Logged in specs","","","3E. Should reject invalid data and accept valid data @smoke @fast",""
"broken","Thu Apr 11 14:48:29 GMT 2024","Thu Apr 11 14:48:59 GMT 2024","30089","independent","wallet-connect/walletConnect.spec.ts","","","","1C: Should disconnect Wallet When connected @smoke @fast",""
"failed","Thu Apr 11 14:48:15 GMT 2024","Thu Apr 11 14:48:45 GMT 2024","29952","bootstrap","wallet.bootstrap.ts","","","","Fund faucet wallet",""
"passed","Thu Apr 11 14:48:15 GMT 2024","Thu Apr 11 14:48:29 GMT 2024","13620","independent","miscellaneous/miscellaneous.spec.ts","","","","6C. Navigation within the dApp @smoke @fast",""
"skipped","Thu Apr 11 14:49:13 GMT 2024","Thu Apr 11 14:49:13 GMT 2024","1","logged in","wallet-connect/walletConnect.loggedin.spec.ts","","","","1B: Should connect wallet with single stake key @smoke @fast",""
"skipped","Thu Apr 11 14:49:13 GMT 2024","Thu Apr 11 14:49:13 GMT 2024","0","logged in","miscellaneous/miscellaneous.loggedin.spec.ts","Logged in specs","","","6D: Proper label and recognition of the testnet network @fast @smoke",""
"broken","Thu Apr 11 14:48:15 GMT 2024","Thu Apr 11 14:48:46 GMT 2024","31134","independent","proposals/proposalVisibility.spec.ts","","","","4A.2: Should access Governance Actions page without connecting wallet @smoke @fast",""
"skipped","Thu Apr 11 14:49:13 GMT 2024","Thu Apr 11 14:49:13 GMT 2024","1","logged in","proposals/proposalVisibility.loggedin.spec.ts","Logged in specs","","","4A.1: Should access Governance Actions page with connecting wallet @smoke @fast",""
